Round,Client,Client Accuracy,Global Accuracy
1,1,69.094%,71.150%
1,2,72.549%,71.150%
1,3,67.412%,71.150%
2,1,74.323%,73.970%
2,2,78.525%,73.970%
2,3,76.164%,73.970%
3,1,80.486%,81.128%
3,2,83.847%,81.128%
3,3,82.868%,81.128%
4,1,82.260%,82.430%
4,2,84.687%,82.430%
4,3,83.799%,82.430%
5,1,85.341%,86.985%
5,2,86.928%,86.985%
5,3,85.940%,86.985%
6,1,86.181%,90.456%
6,2,86.368%,90.456%
6,3,85.568%,90.456%
7,1,88.982%,86.768%
7,2,88.422%,86.768%
7,3,87.616%,86.768%
8,1,87.862%,90.022%
8,2,89.076%,90.022%
8,3,89.292%,90.022%
9,1,88.702%,91.323%
9,2,88.982%,91.323%
9,3,88.641%,91.323%
10,1,87.955%,91.757%
10,2,90.570%,91.757%
10,3,89.479%,91.757%
11,1,90.289%,91.757%
11,2,88.982%,91.757%
11,3,89.385%,91.757%
12,1,89.636%,93.059%
12,2,90.850%,93.059%
12,3,91.434%,93.059%
